textDisplay,authorDisplayName,likeCount,publishedAt,sentimen,kategori
"<a href=""https://www.youtube.com/watch?v=R3TECN62fKU&amp;t=0m58s"">0:58</a>  wow",ROBERTM  GEMING,0,2023-07-12T14:41:38Z
Lah Kok Malah 🤨,Vinz Senpai,1,2023-10-08T22:31:03Z
Sena imuttt,RANDOM R CHANNELS,1,2023-07-12T14:40:48Z
Didikannya mas garit 🤣🤣,Syaria Anindita,1,2023-07-12T14:40:16Z
Sena ❤ Kawai,かわいちぺん,1,2023-07-12T14:35:59Z
ku kira sena cumi cumi ternyata ikan,Rey,0,2023-07-12T14:35:17Z
Kata siapa kalau sena ikan?,〘 Ilham 〙,0,2023-07-12T20:23:02Z
Vtuber brutal,Alipp,0,2023-07-12T14:32:15Z
ini kucing dari negara mana ya? kok lucu,Eko,3,2023-07-12T14:32:03Z
Pake nanya,〘 Ilham 〙,1,2023-07-12T20:23:33Z
Pake nanya,〘 Ilham 〙,1,2023-07-12T20:23:33Z
Pake nanya,〘 Ilham 〙,1,2023-07-12T20:23:33Z
Pake nanya,〘 Ilham 〙,1,2023-07-12T20:23:33Z
Multi talent sekali kmu,Fema19,1,2023-07-12T14:31:05Z
Vtuber paling percaya diri yg pernah gw liat,VladimirLenin,2,2023-07-12T14:30:25Z
Karung mana karung,Tamrin's Channel 🅥︎,1,2023-07-12T14:27:28Z
iya sena iya,Alfian McDowell,0,2023-07-12T14:27:12Z
Mending jadi adk ku tolong Jawab komen ini Sena senachan,Bluze ok kw ,0,2023-07-12T14:23:47Z
Gak bakalan,〘 Ilham 〙,0,2023-07-12T20:24:47Z
"Iya sen semangat y<a href=""about:invalid#zCSafez""></a>",Mr Pizza,2,2023-07-12T14:23:33Z
YOI JAGO MAIN GAME!,Dwi woi Brutu,1,2023-07-12T14:23:22Z
"Kupantengin no skip loh, kupikir apaan, eh ternyata promosi nih senyut",Bang ( Y ),1,2023-07-12T14:22:34Z
lucu banget senaaaaaa,I Faramagita,1,2023-07-12T14:22:19Z
Informasi yang ada kurang akurat ya,Hataze,0,2023-07-12T14:20:57Z
Emg vtuber ini sangat fav gwehj banget😎bisa all coy,Atthariq Fairuzzabady,2,2023-07-12T14:20:29Z
Halo Sena,☆Megumi Aoi☆,2,2023-07-12T14:20:04Z
Yang ngejual kucing kaya gini dimana yaa?,Fathur_,1,2023-07-12T14:20:01Z
Gr² notif cuma setengah w baca nya India 🗿,WHILLY_101 🇮🇩,0,2023-07-12T14:19:41Z
Emang iya sena??,SaripLLG,0,2023-07-12T14:19:39Z
Pliharaan ku bisa ngomong cooooyy😲😲😲😲😲😲😲😲,ItzAestrou (Close),2,2023-07-12T14:19:36Z
kalo jadi pendamping hidup ku selamanya bisa gak sen?,Dims D Nazi,1,2023-07-12T14:19:30Z
🥱🥱🥱🥱,DENISFAUZAN.A1,0,2023-07-12T14:19:29Z
🤮🤮🤮🤮,DENISFAUZAN.A1,0,2023-07-12T14:19:09Z
"<a href=""about:invalid#zCSafez""></a>",〘 Ilham 〙,0,2023-07-12T20:28:26Z
Memang menyedihkan kan,baru,0,2023-07-12T14:19:06Z
😂😂😂😂,DENISFAUZAN.A1,1,2023-07-12T14:18:50Z
Sena unyuuu~,Vigi Ch. ,1,2023-07-12T14:18:45Z
😂😂😂😂😂😂,DENISFAUZAN.A1,1,2023-07-12T14:18:43Z
Orang 6 yang like,kura-kura gaming,1,2023-07-12T14:18:35Z
"Maksud <a href=""about:invalid#zCSafez""></a>",〘 Ilham 〙,0,2023-07-12T20:28:08Z
coba sena live genshin impact,bam,0,2023-07-12T14:18:35Z
kucing  esempe😋😋,Farrel Khq,1,2023-07-12T14:18:32Z
Iya sena iya,Agus wicaksana,1,2023-07-12T14:18:29Z
Buset kirain live,Fixx,2,2023-07-12T14:18:28Z
Aku pertama 🤓☝,BeBen,0,2023-07-12T14:18:26Z
Lu itu bukan pertama,〘 Ilham 〙,0,2023-07-12T20:27:10Z
🎉😊🎉😊🎉😊,DENISFAUZAN.A1,1,2023-07-12T14:18:26Z
Aku pertama.<br>Gak jadi,Hataze,0,2023-07-12T14:18:25Z
Kerja bagus🗿👍,Rafky,1,2023-07-12T14:18:21Z
Halo kak sena btw semoga sehat selalu ya kak🤝,Ardi Ramadhan,4,2023-07-12T14:18:20Z
Produk Isen Berapaan Harganya Sen?,Fano,0,2023-07-12T14:18:14Z
Pake nanya,〘 Ilham 〙,0,2023-07-12T20:29:21Z
Iya pertama🗿,Yuga Prihatno34,0,2023-07-12T14:18:12Z
Nice,rafly,0,2023-07-12T14:18:11Z
Gg sen =),Habibie Well See =) ,1,2023-07-12T14:18:11Z
First,Hehe Boi,1,2023-07-12T14:18:10Z
@〘 Ilham 〙 kata alm nenek ku bg,Hehe Boi,0,2023-07-13T02:51:02Z
@〘 Ilham 〙 kata alm nenek ku bg,Hehe Boi,0,2023-07-13T02:51:02Z
Pertama:v,Mobo clips,0,2023-07-12T14:18:07Z
Siap,kura-kura gaming,1,2023-07-12T14:18:02Z
First,RizraVants【RZV】,2,2023-07-12T14:17:58Z
Halllo senaaa,Zyroooooo,1,2023-07-12T14:17:57Z
Pertama coyyy,JonToto_123x,0,2023-07-12T14:17:53Z
Kata siapa kamu pertama,〘 Ilham 〙,0,2023-07-12T20:26:20Z
Halo sen,bruhmet,1,2023-07-12T14:17:53Z
Haii,Cinnavy,0,2023-07-12T14:17:51Z
YO KAK,just call aca,0,2023-07-12T14:17:51Z
v:,bam,0,2023-07-12T14:17:48Z
Halo senaaaa,GodTher,2,2023-07-12T14:17:48Z
Hlo,ORANGGILA1140,0,2023-07-12T14:17:47Z
Pertamaaaaa,SATRIA YME,0,2023-07-12T14:17:44Z
Ngapain juga bilang &quot;Pertama&quot; lu itu bukan pertama,〘 Ilham 〙,0,2023-07-12T20:26:01Z
Ngapain juga bilang &quot;Pertama&quot; lu itu bukan pertama,〘 Ilham 〙,0,2023-07-12T20:26:01Z
Thumnailnya seperti <br><br>Sebelum : () <br>Sesudah :(      ) <br>SUS🗿,RZ TEAM,1,2023-07-26T13:56:47Z
*sedang cari sena di situs jagung<br><br>Lah gak ada,gabut woy,0,2023-07-19T06:57:27Z
"pinter nih sena,makw thumbnail yang ke gini biar pada dateng",aderuu,0,2023-07-08T08:28:08Z
"Honestly, this is 69420 times better than I expected. I have no regrets.<br><br><a href=""https://www.youtube.com/watch?v=uAqVo1W50wA&amp;t=0m58s"">0:58</a> TI-DI-DI-DING!!!",Thelo Stone,0,2023-06-26T12:08:52Z
Sus🤔🤔🤔,bang adhel,0,2023-05-08T12:22:13Z
Siapa yang nonton video ini karena thumnailnya ternyata malah kena rickroll,Lala Ruby,0,2023-04-13T13:09:38Z
Kena rickroll sena,Milooo,0,2023-03-27T11:37:55Z
bajilak,alanesia,0,2023-01-06T18:13:47Z
•-•,khai,0,2023-01-04T14:32:27Z
Harusnya<br>We&#39;re no stranger to cheseeee<br>We know the book and so do i<br>A Number 6 is what i&#39;m thinking of<br>You wouldn&#39;t get this from<br>Any other fat man<br>iii just wanna tell you how i&#39;m feeling<br>Gotta make you understand<br>Never gonna follow that damn train<br>Never gonna shoot those vagos<br>Never gonna take care of our bussiness and relax on the pedal dude <br>Look aaaaaaaaaaaaaaaaaaaaa,terkejud,0,2022-12-24T07:19:43Z
Thumbnailnya 10000% sus,Muzan Ribut,0,2022-12-22T04:30:01Z
Thumnailnya sus,super sus worlds,0,2022-12-20T00:27:14Z
Kaya nya sena sudah mulai megerti  hal hal itu,Bowo Mobilindo Jaya,0,2022-12-05T09:00:16Z
thumbnailnya😅,Reina_chan~🌼,0,2022-11-19T14:42:33Z
Sus 🗿,Indonesia'n Čoūñťrý🌏,0,2022-11-16T06:59:47Z
👉🤯👈,HEHE BOI,0,2022-11-13T04:24:01Z
"Yap betul sekali, kita kena NekoSena Roll",BradPlayzRoblox,0,2022-11-11T16:16:35Z
WOW,Aufar Ashiddiq,0,2022-11-09T00:20:44Z
"Sus sangat<a href=""about:invalid#zCSafez""></a>",Zeta Preset,0,2022-11-05T01:09:50Z
Oh ini maksud dari tumblen,Nia 🐼,0,2022-10-30T05:47:31Z
Tidak terpancing dari Tumnel🎣👨,MrSIU,0,2022-10-09T08:12:31Z
Get Rickroll hahahaha!,Arthur Evander,0,2022-10-07T10:41:34Z
"Thumnail yang sus karena sena lagi.,.......",ghost negative,0,2022-10-03T03:06:06Z
Bersyukur lah karena thumbnail mu aku mampir ke sini🗿,SleepyAsh,0,2022-10-02T14:42:05Z
Thumnailnya sus,Vera Waty,0,2022-09-12T09:18:04Z
Gak baik thumbnail nya,AkuXD,1,2022-09-09T14:16:24Z
Anjaiii <br>Agak cemvrenf tapi gpp🗿✌,01Hanzzz-,0,2022-08-26T12:24:08Z
RRRRrrrrrrrrr,Klepon ID 🧁🍡,1,2022-08-25T23:18:01Z
👍👍👍👍,Nina pebriana Pebrianw,0,2022-08-20T07:47:49Z
😘😘😘😘,Nina pebriana Pebrianw,0,2022-08-20T07:46:24Z
Thumbnail: FBI OPEN UP!!!!!,Uzui Tengen,0,2022-08-10T12:46:12Z
Thumbnailnya seperti di ajak om-om 🗿,D1tzzY,0,2022-08-07T15:01:09Z
Astaga thumbnail nya,Made In Heaven,0,2022-08-05T11:34:40Z
Eyyyyyyyyyy gooddddddddd keren kamu sena,Dah lah,0,2022-07-24T09:07:12Z
Sena di thumbnail nya bilang: OM JANGAN OM,Anya Desu!,0,2022-07-22T05:11:20Z
.,•ayuska ch•,0,2022-07-18T13:27:53Z
Uwu,Ahcong Anjing987,0,2022-07-14T13:17:56Z
Vtuber 1 ini sangat senang jika karakternya di jadikan liwed,Legoshi [KL],0,2022-07-10T11:59:41Z
ngen,Yassin,0,2022-07-06T23:49:43Z
Never give you up,EDITOR GABUT,0,2022-07-06T10:38:32Z
Makasih Ya Sena 🥶,Yukiie Miyanuchi Sora,0,2022-07-05T03:06:20Z
kewak ang,VARGOVAR,0,2022-07-03T13:34:07Z
Aku kesini karna tamnel,M Ahnaf Hafiz,0,2022-07-02T04:36:55Z
Kena rikc roll sih nooooo,Cornelius Anton,0,2022-06-29T12:06:55Z
Thumnail ya agak sus yak,Cornelius Anton,0,2022-06-29T12:00:49Z
Gpp sumpah gpp🗿💦,KaptenSadIND,0,2022-06-28T07:33:39Z
Tumnail nya sena liat manok titud,Y Fᴏʀ Yᴜʀɪsᴀ,1,2022-06-28T04:59:12Z
Anyink rickrolled,Maddes,1,2022-06-27T07:02:42Z
lucuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu,margarette maria,0,2022-06-25T06:34:44Z
Kita kena rickroll,Kawai Neko [chimuneko•ID],0,2022-06-23T12:56:56Z
thumbnailnya🤨🤨🤨🤨🤨🤨🤨🤨🤨🤨,TonyTuruu,0,2022-06-22T08:31:16Z
😡😡🤬😡,Winda Lestari,0,2022-06-22T03:20:34Z
👇🎵🎶🎵🎶🔊🔊,Winda Lestari,0,2022-06-22T03:20:12Z
🔊🔊🔊🔊🔊,Winda Lestari,0,2022-06-22T03:18:52Z
🎶🎵🎶🎵🎶🎵🎶🎵🎶🎵🎶🎵🎶🎵🎶🎵,Winda Lestari,0,2022-06-22T03:18:31Z
😍🤩🤩😍🤩🤩😍,jeremia ambarita,0,2022-06-21T04:32:53Z
-_-😍😍😍😍😍😍😍😍😍😍😍👪,welliam  you Tube,0,2022-06-17T14:24:31Z
We have same mind,Fishzz_,0,2022-06-17T00:10:49Z
B😂😂😂😂😂😂😂😂😂😂😂😂😂😂zbdbznzkxjxbz,Aliya Tias,0,2022-06-16T09:08:07Z
😂😂😂😂😅😄😄,Aliya Tias,0,2022-06-16T09:07:04Z
😄😄😄😄😄😄😄😄😄😄,Aliya Tias,0,2022-06-16T09:04:26Z
pas ketawa “EHEE” canduuu😩💗,Vito Taret,0,2022-06-15T12:21:32Z
Aku ketipu thumbnail 🗿,Reyhn,0,2022-06-12T23:28:56Z
Langsung kesurupan kepiting abis nonton ini,Rey,1,2022-06-12T07:39:51Z
Kena Ric roll,Black Shadow,0,2022-06-12T02:30:33Z
🥺🥺🥺🥺🥺,Sofia Leno,0,2022-06-08T08:15:55Z
Hi,Sofia Leno,0,2022-06-08T08:15:20Z
Vidio ini akan menjadi Vidio legend,Harnowo H,0,2022-06-08T08:06:10Z
kopirek kocak :V,Ari Mulyawan,0,2022-06-05T04:23:36Z
Siapakah 2 orang yang sus itu,Ferdinad741 MC,0,2022-06-02T09:10:06Z
Sss,kian💖sena,0,2022-05-31T04:06:35Z
🗿🗿🗿🗿🗿🗿🗿 aku kena rick roll,ERVEND~~•?,0,2022-05-26T20:11:48Z
